"Emplacamento de Caminhões"
"Período";"CAMINHÕES"
"2003 - JUN";5376
"2003 - JUL";6041
"2003 - AGO";5360
"2003 - SET";5571
"2003 - OUT";6354
"2003 - NOV";5573
"2003 - DEZ";5792
"2004 - JAN";5464
"2004 - FEV";5302
"2004 - MAR";7087
"2004 - ABR";6710
"2004 - MAI";6728
"2004 - JUN";6827
"2004 - JUL";7002
"2004 - AGO";7271
"2004 - SET";7105
"2004 - OUT";7163
"2004 - NOV";6979
"2004 - DEZ";7846
"2005 - JAN";6273
"2005 - FEV";5875
"2005 - MAR";7368
"2005 - ABR";7349
"2005 - MAI";6824
"2005 - JUN";7222
"2005 - JUL";6906
"2005 - AGO";6727
"2005 - SET";6455
"2005 - OUT";5834
"2005 - NOV";6094
"2005 - DEZ";6606
"2006 - JAN";5858
"2006 - FEV";4980
"2006 - MAR";6617
"2006 - ABR";5370
"2006 - MAI";6603
"2006 - JUN";5817
"2006 - JUL";6137
"2006 - AGO";6887
"2006 - SET";6606
"2006 - OUT";7065
"2006 - NOV";6722
"2006 - DEZ";7309
"2007 - JAN";6235
"2007 - FEV";5832
"2007 - MAR";8018
"2007 - ABR";7581
"2007 - MAI";8796
"2007 - JUN";7983
"2007 - JUL";8762
"2007 - AGO";9173
"2007 - SET";8147
"2007 - OUT";9748
"2007 - NOV";9294
"2007 - DEZ";9016
"2008 - JAN";7989
"2008 - FEV";8056
"2008 - MAR";9468
"2008 - ABR";11092
"2008 - MAI";9912
"2008 - JUN";10747
"2008 - JUL";12087
"2008 - AGO";11344
"2008 - SET";11955
"2008 - OUT";11980
"2008 - NOV";9328
"2008 - DEZ";8329
"2009 - JAN";6334
"2009 - FEV";6429
"2009 - MAR";8724
"2009 - ABR";8440
"2009 - MAI";7638
"2009 - JUN";8599
"2009 - JUL";9709
"2009 - AGO";8535
"2009 - SET";10095
"2009 - OUT";11326
"2009 - NOV";11194
"2009 - DEZ";12804
"2010 - JAN";9740
"2010 - FEV";7925
"2010 - MAR";13500
"2010 - ABR";13632
"2010 - MAI";13222
"2010 - JUN";12987
"2010 - JUL";14683
"2010 - AGO";13246
"2010 - SET";13224
"2010 - OUT";13504
"2010 - NOV";14566
"2010 - DEZ";17478
"2011 - JAN";12242
"2011 - FEV";12731
"2011 - MAR";14521
"2011 - ABR";13512
"2011 - MAI";15137
"2011 - JUN";14795
"2011 - JUL";15550
"2011 - AGO";16459
"2011 - SET";14957
"2011 - OUT";13878
"2011 - NOV";13436
"2011 - DEZ";15652
"2012 - JAN";13016
"2012 - FEV";10929
