"Produção de Caminhões"
"Período";"CAMINHÕES"
"2022 - JUN";13370
"2022 - JUL";12724
"2022 - AGO";17223
"2022 - SET";14956
"2022 - OUT";15582
"2022 - NOV";15121
"2022 - DEZ";14614
"2023 - JAN";4049
"2023 - FEV";8123
"2023 - MAR";12325
"2023 - ABR";7255
"2023 - MAI";8392
"2023 - JUN";7029
"2023 - JUL";6749
"2023 - AGO";9623
"2023 - SET";8220
"2023 - OUT";10478
"2023 - NOV";10030
"2023 - DEZ";8262
"2024 - JAN";7941
"2024 - FEV";10162
"2024 - MAR";11224
"2024 - ABR";11656
"2024 - MAI";11172
"2024 - JUN";12236
"2024 - JUL";11909
"2024 - AGO";13101
"2024 - SET";13210
"2024 - OUT";14792
"2024 - NOV";13170
"2024 - DEZ";10679
"2025 - JAN";8041
"2025 - FEV";11970
"2025 - MAR";11720
"2025 - ABR";11020
"2025 - MAI";12327
"2025 - JUN";11293
"2025 - JUL";12058
"2025 - AGO";10096
"2025 - SET";10107
"2025 - OUT";10160
"2025 - NOV";9601
"2025 - DEZ";5723
"2026 - JAN";6813
"2026 - FEV";7797
"2026 - MAR";11133
"2026 - ABR";9673
"2026 - MAI";10488
"2026 - JUN";10894
"2026 - JUL";12109
"2026 - AGO";11773
